Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
Serbuan maut 2: Berandal,A,150,"Action, Crime, Thriller",71,114316,8
The Imitation Game,UA,114,"Biography, Drama, Thriller",73,685201,8
Guardians of the Galaxy,UA,121,"Action, Adventure, Comedy",76,1043455,8
Blade Runner 2049,UA,164,"Action, Drama, Mystery",81,461823,8
Her,A,126,"Drama, Romance, Sci-Fi",90,540772,8
Bohemian Rhapsody,UA,134,"Biography, Drama, Music",49,450349,8
The Revenant,A,156,"Action, Adventure, Drama",76,705589,8
The Perks of Being a Wallflower,UA,103,"Drama, Romance",67,462252,8
Tropa de Elite 2: O Inimigo Agora é Outro,,115,"Action, Crime, Drama",71,79200,8
The King's Speech,U,118,"Biography, Drama, History",88,639603,8
The Help,UA,146,Drama,62,428521,8
Deadpool,R,108,"Action, Adventure, Comedy",65,902669,8
Darbareye Elly,TV-PG,119,"Drama, Mystery",87,45803,8
Dev.D,A,144,"Drama, Romance",,28749,8
Yip Man,R,106,"Action, Biography, Drama",59,211427,8
My Name Is Khan,UA,165,Drama,50,98575,8
Nefes: Vatan Sagolsun,,128,"Action, Drama, Thriller",,31838,8
Slumdog Millionaire,UA,120,"Drama, Romance",84,798882,8
Black Swan,A,108,"Drama, Thriller",79,699673,8
Tropa de Elite,R,115,"Action, Crime, Drama",33,98097,8
The Avengers,UA,143,"Action, Adventure, Sci-Fi",69,1260806,8
Persepolis,PG-13,96,"Animation, Biography, Drama",90,88656,8
Dallas Buyers Club,R,117,"Biography, Drama",80,441614,8
The Pursuit of Happyness,U,117,"Biography, Drama",64,448930,8
Blood Diamond,A,143,"Adventure, Drama, Thriller",64,499439,8
The Bourne Ultimatum,UA,115,"Action, Mystery, Thriller",85,604694,8
Bin-jip,U,88,"Crime, Drama, Romance",72,50610,8
Sin City,A,124,"Crime, Thriller",74,738512,8
Le scaphandre et le papillon,PG-13,112,"Biography, Drama",92,103284,8
G.O.R.A.,,127,"Adventure, Comedy, Sci-Fi",,56960,8
Ratatouille,U,111,"Animation, Adventure, Comedy",96,641645,8
Casino Royale,PG-13,144,"Action, Adventure, Thriller",80,582239,8
Kill Bill: Vol. 2,A,137,"Action, Crime, Thriller",83,683900,8
Vozvrashchenie,,110,Drama,82,42399,8
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,R,103,"Drama, Romance",85,77520,8
Mar adentro,U,126,"Biography, Drama",74,77554,8
Cinderella Man,UA,144,"Biography, Drama, History",69,176151,8
Kal Ho Naa Ho,U,186,"Comedy, Drama, Musical",54,63460,8
Mou gaan dou,UA,101,"Action, Crime, Drama",75,117857,8
Pirates of the Caribbean: The Curse of the Black Pearl,UA,143,"Action, Adventure, Fantasy",63,1015122,8
Big Fish,U,125,"Adventure, Drama, Fantasy",58,415218,8
The Incredibles,U,115,"Animation, Action, Adventure",90,657047,8
Yeopgijeogin geunyeo,,137,"Comedy, Drama, Romance",,45403,8
Dogville,R,178,"Crime, Drama",60,137963,8
Vizontele,,110,"Comedy, Drama",,33592,8
Donnie Darko,R,113,"Drama, Mystery, Sci-Fi",88,740086,8
Magnolia,R,188,Drama,77,289742,8
Dancer in the Dark,U,140,"Crime, Drama, Musical",61,102285,8
The Straight Story,U,112,"Biography, Drama",86,82002,8
Pâfekuto burû,A,81,"Animation, Crime, Mystery",,58192,8
Festen,R,105,Drama,82,78341,8
Central do Brasil,R,110,Drama,80,36419,8
The Iron Giant,PG,86,"Animation, Action, Adventure",85,172083,8
Knockin' on Heaven's Door,,87,"Action, Crime, Comedy",,27721,8
Sling Blade,R,135,Drama,84,86838,8
Secrets & Lies,U,136,"Comedy, Drama",91,37564,8
Twelve Monkeys,A,129,"Mystery, Sci-Fi, Thriller",74,578443,8
Kôkaku Kidôtai,UA,83,"Animation, Action, Crime",76,129231,8
The Nightmare Before Christmas,U,76,"Animation, Family, Fantasy",82,300208,8
Groundhog Day,U,101,"Comedy, Fantasy, Romance",72,577991,8
Bound by Honor,R,180,"Crime, Drama",47,28825,8
Scent of a Woman,UA,156,Drama,59,263918,8
Aladdin,U,90,"Animation, Adventure, Comedy",86,373845,8
JFK,UA,189,"Drama, History, Thriller",72,142110,8
Beauty and the Beast,G,84,"Animation, Family, Fantasy",95,417178,8
Dances with Wolves,U,181,"Adventure, Drama, Western",72,240266,8
Do the Right Thing,R,120,"Comedy, Drama",93,89429,8
Rain Man,U,133,Drama,65,473064,8
Akira,UA,124,"Animation, Action, Sci-Fi",,164918,8
The Princess Bride,U,98,"Adventure, Family, Fantasy",77,393899,8
Der Himmel über Berlin,U,128,"Drama, Fantasy, Romance",79,64722,8
Au revoir les enfants,U,104,"Drama, War",88,31163,8
Tenkû no shiro Rapyuta,U,125,"Animation, Adventure, Drama",78,150140,8
The Ter.0ator,UA,107,"Action, Sci-Fi",84,799795,8
Gandhi,U,191,"Biography, Drama, History",79,217664,8
Kagemusha,U,180,"Drama, History, War",84,32195,8
